priority,score,countries,document_date,document_type,document_no,document_title,source_series,local_identifier,folder_title,folder_naid,page_start,page_end,extraction,themes,review_reason,ocr_snippet,access_restriction,source_note,page_link,pdf_url,catalog_url
High,90,,"March 10, 1989",Memorandum,,Reply to Letter from General Wickham,Latin American Affairs Directorate Subject Files,CF00194-016,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]",470766553,18,,ocr-document-start,"narcotics; drug; presidential diplomacy","memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","NATIONAL SECURITY COUNCIL WASHINGTON, D.C, 20506 March 10, 1989 ACTION MEMORANDUM FOR BRENT SCOWCROFT THROUGH: DAVID C. ER, JR. FROM: scopapprs SUBJECT: Reply to Letter from General Wickham Retired Army General John Wickham, Jr., President of the Armed Forces Communications and Electronics Association (AFCEA), has forwarded an article (Tab II) from AFCEA’s professional journal that conveys his recommendations to solv",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf#page=18,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553
High,90,Venezuela,"March 15, 1989",Memorandum,,Carlos Andres Perez Request for Two-Hour Meeting,Latin American Directorate Chronological Files,CF00300-010,"March 1, 1989-March 16, 1989 [1]",470766411,43,,ocr-document-start,"debt and economy; presidential diplomacy; panama spillover","memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, panama spillover; document text visible in OCR","IDENT conpepenrran CLINT 1716 NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 March 15, 1989 =| MEMORANDUM FOR BRENT SCOWCRO: INF TION FROM: ROBERT S. FB RINO SUBJECT: Carlos Andres Perez Request for Two-Hour Meeting with the President I met yesterday for almost an hour with Beatrice Rangel, one of Carlos Andres Perez’ chief foreign affairs advisers. She said that Perez wants to meet with the President privately, as",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-010, March 1, 1989-March 16, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=43,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf,https://catalog.archives.gov/id/470766411
High,90,Venezuela,"March 15, 1989",Memorandum,,Carlos Andres Perez Request for Two-Hour Meeting,Latin American Affairs Directorate Subject Files,CF00193-019,"Venezuela - January 20, 1989-December 31, 1989 [2]",470766534,87,,ocr-document-start,"debt and economy; presidential diplomacy; panama spillover","memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, panama spillover; document text visible in OCR","NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20508 March 15, 1989 We MEMORANDUM FOR BRENT SCOWCRO INFORMATION FROM: ROBERT S. F RINO SUBJECT: Carlos Andres Perez Request for Two-Hour Meeting with the President I met yesterday for almost an hour with Beatrice Rangel, one of Carlos Andres Perez’ chief foreign affairs advisers. She said that Perez wants to meet with the President privately, as soon as possible to discuss",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=87,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534
High,90,Venezuela,"March 2, 1989",Memorandum,,Presidential Telephone Call to Venezuelan,Latin American Directorate Chronological Files,CF00300-013,"March 1, 1989-March 16, 1989 [4]",470766414,54,,ocr-document-start,"debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","ce “CONPIDENeEAL, “EBNF 1324 ith A hmen Le NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 March 2, 1989 ssa gah » MEMORANDUM FOR BRENT SCOWCROFT FROM: ROBERT \. PASTORINO SUBJECT: Presidential Telephone Call to Venezuelan President Carlos Andres Perez Please find attached an action memorandum and points to be made for the President’s telephone call to Carlos Andres Perez. The call will inform Perez of the U.S. deci",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=54,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414
High,90,Venezuela,"March 2, 1989",Memorandum,,Presidential Telephone Call to Venezuelan,Latin American Affairs Directorate Subject Files,CF00193-019,"Venezuela - January 20, 1989-December 31, 1989 [2]",470766534,121,,ocr-document-start,"debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","“CONPEDENTIAL “CONAIBENT HH 1324 with SECRET Attachment NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 March 2, 1989 MEMORANDUM FOR BRENT SCOWCROFT FROM: ROBERT WW. PASTORINO SUBJECT: Presidential Telephone Call to Venezuelan President Carlos Andres Perez Please find attached an action memorandum and points to be made for the President’s telephone call to Carlos Andres Perez. The call will inform Perez of the U.S.",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=121,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534
High,90,Venezuela,"March 28, 1989",Memorandum,,Proposed Response to Venezuelan President,Latin American Affairs Directorate Subject Files,CF00193-019,"Venezuela - January 20, 1989-December 31, 1989 [2]",470766534,62,,ocr-document-start,"debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","| Hel ’ NATIONAL SECURITY COUNCIL le. WASHINGTON, D.C. 20506 2 ‘ March 28, 1989 jo ACTION MEMORANDUM FOR BRENT SCOWCROFT FROM: TIMOTHY E. DEAL GE SUBJECT: Proposed Response to Venezuelan President Perez’s Letters of March 3 and 17 Attached at Tab I is a memorandum from you to the President, transmitting a proposed response to President Perez’s letters of March 3 and 17, concerning the international debt problem gener",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=62,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534
High,90,Chile,"March 3, 1989",Memorandum,,Guidance for Ambassador Gillespie (U),Latin American Affairs Directorate Subject Files,CF00195-005,"Chile - January 20, 1989-December 31, 1989",470766562,68,,ocr-document-start,"democracy; presidential diplomacy","memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 GONEEBENET AG, 1305 March 3, 1989 MEMORANDUM FOR MELVYN LEVITSKY Executive Secretary Department of State SUBJECT: Guidance for Ambassador Gillespie (U) As a result of Ambassador Gillespie’s meeting with General Scowcroft on February 6, at which the Ambassador requested guidance from the President through General Scowcroft regarding U.S. policy toward the Chilean electi",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=68,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562
High,90,Chile,"March 6, 1989",Memorandum,,Guidance for Ambassador Gillespie (U),Latin American Directorate Chronological Files,CF00300-013,"March 1, 1989-March 16, 1989 [4]",470766414,51,,ocr-document-start,"democracy; presidential diplomacy","memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","~CONRIBEN HAL NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 “CONFIDENTIAR 1305 MEMORANDUM FOR MELVYN LEVITSKY. Executive Secretary Department of State SUBJECT: Guidance for Ambassador Gillespie (U) As a result of Ambassador Gillespie’s meeting with General Scowcroft on February 6, at which the Ambassador requested guidance from the President through Genéral Scowcroft regarding U.S. policy toward the Chilean electi",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=51,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414
High,90,Bolivia,"May 11, 1989",Memorandum,,Recommendation for Telephone Call by the,Latin American Directorate Chronological Files,CF00301-015,"May 16, 1989-May 30, 1989 [3]",470766432,56,,ocr-document-start,"narcotics; democracy; presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; narcotics, democracy, presidential diplomacy; document text visible in OCR","8910658 United States Department of State E Washington, D.C. 20520 ange May 11, 1989 MEMORANDUM FOR BRENT SCOWCROFT THE WHITE HOUSE Subject: Recommendation for Telephone Call by the President to President Victor Paz Estenssoro of Bolivia We recommend that we take advantage of the integrity of the Bolivian elections with a telephone call as soon as possible from President Bush to President Paz Estenssoro. A brief call",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=56,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf,https://catalog.archives.gov/id/470766432
High,90,Argentina,"May 14, 1989",Memorandum,,Letter to President Alfonsin of Argentina,Latin American Directorate Chronological Files,CF00300-008,"February 1, 1989-March 1, 1989 [4]",470766409,29,,ocr-document-start,"democracy; debt and economy; presidential diplomacy","memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","SONREP END a ""0673 THE WHITE HOUSE WASHINGTON ACTION MEMORANDUM FOR THE PRESIDENT FROM: BRENT SCOWCROFT SUBJECT: Letter to President Alfonsin of Argentina issue Whether to sign the attached letter to Argentine President Alfonsin in response to his letter to you. Fact President Alfonsin has written to explain the critical importance of the Presidential election on May 14, 1989 to the consolidation of democracy, and re",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-008, February 1, 1989-March 1, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=29,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf,https://catalog.archives.gov/id/470766409
High,90,Colombia,"May 15, 1989",Memorandum,,Panama -- Recommendation That President Bush Telephone,Latin American Directorate Chronological Files,CF00301-015,"May 16, 1989-May 30, 1989 [3]",470766432,44,,ocr-document-start,"presidential diplomacy; regional policy; panama spillover","memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy, panama spillover; document text visible in OCR","S/S 8910911 United States Department of State Washington, D.C. 20520 May 15, 1989 3673 © PONFIBENTIAC- MEMORANDUM FOR BRENT SCOWCROFT THE WHITE HOUSE Subject: Panama -- Recommendation That President Bush Telephone President Virgilio Barco of Colombia The Organization of American States is meeting Wednesday, May 17, to consider the Panamanian situation. Out of this meeting we hope to obtain a hemispheric consensus to",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=44,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf,https://catalog.archives.gov/id/470766432
High,90,Colombia,"May 16, 1989",Memorandum,,Points to Be Made for the President’s Telephone,Latin American Directorate Chronological Files,CF00301-015,"May 16, 1989-May 30, 1989 [3]",470766432,41,,ocr-document-start,"democracy; presidential diplomacy; panama spillover","memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, panama spillover; document text visible in OCR","“CONPEDENPIAL 3673 NATIONAL SECURITY COUNCIL CONFIDENTIAL == ciRON FRE WASHINGTON, D.C, 20506 May 16, 1989 ACTION MEMORANDUM FOR BRENT SCOWCROFT af FROM: DAVID A. PACELLI v SUBJECT: Points to Be Made for the President’s Telephone Calls to Colombian President Barco and Guillermo Endara of Panama Attached at Tab I is the points to be made for the President’s telephone call to Colombian President Barco and attached at T",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=41,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf,https://catalog.archives.gov/id/470766432
High,90,Colombia,"May 16, 1989",Memorandum,,Points to Be Made for the President’s Telephone,Latin American Affairs Directorate Subject Files,CF00195-010,"Colombia - January 20, 1989-December 31, 1989 [4]",470766567,65,,ocr-document-start,"democracy; presidential diplomacy; panama spillover","memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, panama spillover; document text visible in OCR","CONFIDENT hale GONPEDENPI AI, 3673 NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20508 May 16, 1989 ACTION MEMORANDUM FOR BRENT SCOWCROFT af FROM: DAVID A. PACELLI v SUBJECT: Points to Be Made for the President’s Telephone Calls to Colombian President Barco and Guillermo Endara of Panama Attached at Tab I is the points to be made for the President's telephone call to Colombian President Barco and attached at Tab If are",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-010, Colombia - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf#page=65,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf,https://catalog.archives.gov/id/470766567
High,90,Venezuela,"May 18, 1989",Memorandum,,Telephone call to Venezuelan President Carlos,Latin American Directorate Chronological Files,CF00301-014,"May 16, 1989-May 30, 1989 [2]",470766431,49,,ocr-document-start,"presidential diplomacy; regional policy; panama spillover","memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy, panama spillover; document text visible in OCR","8911313 United States Department of State Washington, D.C. 20520 3804 May 18, 1989 MEMORANDUM FOR BRENT SCOWCROFT. THE WHITE HOUSE: i SUBJECT: Telephone call to Venezuelan President Carlos Andres Perez As a result of the President's phone calls to Venezuelan President Carlos Andres Perez (CAP) and Venezuela's initiative, the OAS convened the May 17 Meeting of Foreign Ministers. At the OAS meeting, a resolution suppor",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-014, May 16, 1989-May 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=49,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf,https://catalog.archives.gov/id/470766431
High,90,Venezuela,"May 18, 1989",Memorandum,,Telephone call to Venezuelan President Carlos,Latin American Affairs Directorate Subject Files,CF00193-019,"Venezuela - January 20, 1989-December 31, 1989 [2]",470766534,15,,ocr-document-start,"presidential diplomacy; regional policy; panama spillover","memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy, panama spillover; document text visible in OCR","8911313 United States Department of State Washington, D.C. 20520 3804 May 18, 1989 MEMORANDUM FOR BRENT SCOWCROFT THE WHITE HOUSE SUBJECT: Telephone call to Venezuelan President Carlos Andres Perez. As a result of the President's phone calls to Venezuelan President Carlos Andres Perez (CAP) and Venezuela's initiative, the OAS convened the May 17 Meeting of Foreign Ministers. At the OAS meeting, a resolution supported",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=15,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534
High,90,Peru,"May 22, 1989",Memorandum,,Possible Call to the President from Peruvian,Latin American Directorate Chronological Files,CF00301-014,"May 16, 1989-May 30, 1989 [2]",470766431,59,,ocr-document-start,"narcotics; presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, regional policy; document text visible in OCR","RON ME. CONFIDENTIAL 38 900 ie NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 May 22, 1989 ACTION MEMORANDUM FOR BRENT SCOWCROFT THROUGH: EVERETT E. BRIGGS ort f FROM: WILLIAM T. PRYCE pat 6 DAVID A. PACELLI DA SUBJECT: Possible Call to the President from Peruvian President Garcia Peruvian President Garcia told former Assistant Secretary of State Abrams on May 18 that he was very pleased with his recent telephone c",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-014, May 16, 1989-May 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=59,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf,https://catalog.archives.gov/id/470766431
High,90,Peru,"May 22, 1989",Memorandum,,Possible Call to the President from Peruvian,Latin American Affairs Directorate Subject Files,CF00193-003,"Peru - January 20, 1989-December 31, 1989",470766518,80,,ocr-document-start,"narcotics; presidential diplomacy; regional policy","memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, regional policy; document text visible in OCR","SONEEDRNEERS 3890 NATIONAL SECURITY COUNCIL WASHINGTON, D.C. 20506 May 22, 1989 ACTION DECLASSIFIED MEMORANDUM FOR BRENT SCOWCROFT PER NSC WAIVER, 00 AR “OA: By_9__ NARA, DateGlelAs THROUGH: EVERETT E. BRIGGS oat i ¥ FROM: WILLIAM T. PRYCE pat 6 DAVID A. PACELLI DA? SUBJECT: Possible Call to the President from Peruvian President Garcia Peruvian President Garcia told former Assistant Secretary of State Abrams on May 1",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-003, Peru - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2001-0010-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf#page=80,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf,https://catalog.archives.gov/id/470766518
High,90,Venezuela,"May 26, 1989",Memorandum,,Recommended Presidential Telephone Call to,Latin American Affairs Directorate Subject Files,CF00193-019,"Venezuela - January 20, 1989-December 31, 1989 [2]",470766534,9,,ocr-document-start,"presidential diplomacy; regional policy; panama spillover","memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy, panama spillover; document text visible in OCR","ee BAFBEMFHE Poy 3804 add-on NATIONAL SECURITY COUNCIL WASHINGTON, D.C, 20506 May 26, 1989 DECLASSIFIED ACTION PER NSC WAIVER, Ig0 iN MEMORANDUM FOR BRENT SCOWCROFT By_ &_NARA, Date. &/0/Aé \) FROM: WILLIAM T. PRYCE DAVID A. PACELLI pat SUBJECT: Recommended Presidential Telephone Call to Venezuelan President Perez Before the President’s departure for Europe, our directorate had recommended that the President call Ven",Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=9,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534
