sort_date,display_date,volume_date_scope,countries,primary_chapter_country,record_class,document_type,title,subject_or_context,priority_or_status,score,page_count_or_range,source_collection,source_series,source_folder_or_title,local_identifier,naid_or_folder_naid,source_note,provenance_note,review_note,pdf_url,catalog_or_details_url,page_link,record_id
1989-01-23,"January 23, 1989",Volume date range,Argentina,Argentina,Print-candidate lead,Memorandum of Conversation,Telephone Call from the President to,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,10,George H.W. Bush Library,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [2]",CF00300-004,470766405,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-004, January 20, 1989-February 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf,https://catalog.archives.gov/id/470766405,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf#page=10,chronological-print-470766405-10-memorandum-of-conversation
1989-01-23,"January 23, 1989",Volume date range,Chile,Chile,Print-candidate lead,Memorandum,Appointment of Octavio ERRAZURIZ Guilisasti of the,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,6,George H.W. Bush Library,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [2]",CF00300-004,470766405,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-004, January 20, 1989-February 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf,https://catalog.archives.gov/id/470766405,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf#page=6,chronological-print-470766405-6-memorandum
1989-01-23,"January 23, 1989",Volume date range,Chile,Chile,Print-candidate lead,Memorandum,Appointment of Octavio ERRAZURIZ Guilisasti of the,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,73,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",CF00195-005,470766562,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=73,subject-print-470766562-73-memorandum
1989-01-24,"January 24, 1989",Volume date range,Argentina,Argentina,Print-candidate lead,Memorandum of Conversation,Memorandum of Conversation Between the President,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,107,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",CF00189-008,470766481,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf#page=107,subject-print-470766481-107-memorandum-of-conversation
1989-01-24,"January 24, 1989",Volume date range,Chile,Chile,Print-candidate lead,Memorandum,Appointment of Octavio Errazuriz Guilisasti of the,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,3,George H.W. Bush Library,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [2]",CF00300-004,470766405,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-004, January 20, 1989-February 1, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf,https://catalog.archives.gov/id/470766405,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-004.pdf#page=3,chronological-print-470766405-3-memorandum
1989-01-24,"January 24, 1989",Volume date range,Chile,Chile,Print-candidate lead,Memorandum,Appointment of Octavio Errazuriz Guilisasti of the,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,76,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989",CF00195-005,470766562,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=76,subject-print-470766562-76-memorandum
1989-01-24,1/24/1989,Volume date range,Venezuela,Venezuela,Daily diary/backup reference,Presidential Daily Backup,[Presidential Daily Backup] 1/24/1989,Matched memcon/telcon date,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Backup] 1/24/1989,12789-010,415889607,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 1/24/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_24_89-12789-010_415889607.pdf,https://catalog.archives.gov/id/415889607,,daily-diary-415889607
1989-01-24,1/24/1989,Volume date range,Venezuela,Venezuela,Daily diary/backup reference,Presidential Daily Diary,[Presidential Daily Diary] 1/24/1989,Matched memcon/telcon date,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Diary] 1/24/1989,12789-009,415889606,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 1/24/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_24_89-12789-009_415889606.pdf,https://catalog.archives.gov/id/415889606,,daily-diary-415889606
1989-01-24,1989-01-24,Volume date range,Venezuela,Venezuela,Declassified memcon/telcon,Telcon,Memorandum of Telephone Conversation,"Memorandum of Conversation Between the President and President-Elect Carlos Andres Perez of Venezuela, January 24, 1989",Full,,3,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989",[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,428079799,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/24/1989; Type Telcon; Participants Perez, Carlos Andres; Country Venezuela; Release Status Full; NAID 428079799. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Memorandum of Conversation Between the President and President-Elect Carlos Andres Perez of Venezuela, January 24, 1989, NAID 428079799. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-24--Perez.pdf, object ID 428079800, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-24--Perez.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 29-30.","Verified declassified private record; compare with same-date diary/backup and nearby print leads before final selection.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-24--Perez.pdf,https://catalog.archives.gov/id/428079799,,bush-library-428079799
1989-01-24,"January 24, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum of Conversation,Memorandum of Conversation Between the,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,45,George H.W. Bush Library,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [1]",CF00300-003,470766404,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-003, January 20, 1989-February 1, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf,https://catalog.archives.gov/id/470766404,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf#page=45,chronological-print-470766404-45-memorandum-of-conversation
1989-01-24,"January 24, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum of Conversation,Memorandum of Conversation Between the,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",Medium,60,137,George H.W. Bush Library,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]",CF00193-019,470766534,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=137,subject-print-470766534-137-memorandum-of-conversation
1989-01-25,1/25/1989,Volume date range,Uruguay,Uruguay,Daily diary/backup reference,Presidential Daily Backup,[Presidential Daily Backup] 1/25/1989,Catalog search lead,Restricted - Possibly,,,White House Office of Appointments and Scheduling Files,Presidential Daily Diary and Presidential Daily Backup Materials,[Presidential Daily Backup] 1/25/1989,12789-012,415889609,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 1/25/1989. Access restriction: Restricted - Possibly.",,"Schedule/supporting-materials evidence; use to confirm timing, calls, meetings, and backup packets.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-012_415889609.pdf,https://catalog.archives.gov/id/415889609,,daily-diary-415889609
1989-01-25,"January 25, 1989",Volume date range,Venezuela,Venezuela,Print-candidate lead,Memorandum of Conversation,Memorandum of Conversation Between the President,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR",High,72,44,George H.W. Bush Library,Latin American Directorate Chronological Files,"January 20, 1989-February 1, 1989 [1]",CF00300-003,470766404,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-003, January 20, 1989-February 1, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,"OCR-derived lead; verify the page image, date, title, and folder provenance before printing.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf,https://catalog.archives.gov/id/470766404,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-003.pdf#page=44,chronological-print-470766404-44-memorandum-of-conversation
