queue_order,action_type,urgency,country,country_risk_score,private_record_count,high_priority_print_candidates,date,document_type,title,source_series,source_folder,priority,score,release_or_access_status,page_count_or_range,evidence,recommended_action,source_note,pdf_url,catalog_url
3905,High-priority print candidate,Critical,"Argentina; Bolivia; Colombia",95,4,47,,Talking Points,"The talking points that have been prepared for you outline the major themes of our policy toward Latin America, including cooperation with Latin leaders, support for",Latin American Directorate Chronological Files,"May 1, 1989-May 15, 1989 [2]",High,70,Restricted - Possibly,39,"narcotics, democracy, debt and economy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-011, May 1, 1989-May 15, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-011.pdf,https://catalog.archives.gov/id/470766428
3905,High-priority print candidate,Critical,"Argentina; Bolivia; Colombia",95,4,47,,Talking Points,"The talking points that have been prepared for you outline the major themes of our policy toward Latin America, including cooperation with Latin leaders, support for",Latin American Affairs Directorate Subject Files,Latin America - Business Groups,High,70,Restricted - Possibly,8,"Latin America, business groups, narcotics; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00192, CF00192-003, Latin America - Business Groups. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-003.pdf,https://catalog.archives.gov/id/470766498
3905,High-priority print candidate,Critical,"Argentina; Brazil; Chile",95,3,32,"December 15, 1989",Memorandum,"Meeting with Argentine Ambassador Guido di Tella,",Latin American Directorate Chronological Files,"December 1, 1989-December 15, 1989 [1]",High,72,Restricted - Possibly,21,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-013, December 1, 1989-December 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-013.pdf,https://catalog.archives.gov/id/470766470
3905,High-priority print candidate,Critical,"Argentina; Brazil; Chile",95,3,32,"December 15, 1989",Memorandum,"Meeting with Argentine Ambassador Guido di Tella,",Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [1]",High,72,Restricted - Possibly,23,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-005, Argentina - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-005.pdf,https://catalog.archives.gov/id/470766478
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Appointment of Jorge Crespo Velasco of Bolivia as,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [1]",High,72,Restricted - Possibly,105,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-017, September 16, 1989-September 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-017.pdf,https://catalog.archives.gov/id/470766454
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Concurrence on 4068,Latin American Directorate Chronological Files,"May 16, 1989-May 30, 1989 [2]",High,72,Restricted - Possibly,6,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-014, May 16, 1989-May 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf,https://catalog.archives.gov/id/470766431
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Congratulatory Letter to the New President of,Latin American Directorate Chronological Files,"August 1, 1989-August 15, 1989 [4]",High,72,Restricted - Possibly,26,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-010, August 1, 1989-August 15, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-010.pdf,https://catalog.archives.gov/id/470766447
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Delegation to Inauguration of Bolivian President,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [1]",High,78,Restricted - Possibly,7,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-004, July 16, 1989-July 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-004.pdf,https://catalog.archives.gov/id/470766441
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Follow Up Message from the President to,Latin American Directorate Chronological Files,"July 1, 1989-July 15, 1989 [2]",High,78,Restricted - Possibly,87,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, panama spillover; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-002, July 1, 1989-July 15, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-002.pdf,https://catalog.archives.gov/id/470766439
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Action Memo,PRESIDENTIAL LETTER ON PANAMA,Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989",High,78,Restricted - Possibly,40,"memorandum form; Presidential or NSC principals; presidential diplomacy, panama spillover; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Recommendation for the Vice President's Travel to,Latin American Directorate Chronological Files,"July 1, 1989-July 15, 1989 [3]",High,90,Restricted - Possibly,29,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-003, July 1, 1989-July 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf,https://catalog.archives.gov/id/470766440
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Recommendation for the Vice President's Travel to,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [2]",High,90,Restricted - Possibly,106,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-005, July 16, 1989-July 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf,https://catalog.archives.gov/id/470766442
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Memorandum,Recommendation for the Vice President's Travel to,Latin American Affairs Directorate Subject Files,"South America - January 20, 1989-December 31, 1989",High,90,Restricted - Possibly,10,"memorandum form; Presidential or NSC principals; South America, democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-010, South America - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-010.pdf,https://catalog.archives.gov/id/470766525
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Talking Points,Talking Points for the President CONPERENL LAL. DECL: OADR,Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989",High,78,Restricted - Possibly,73,"Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Talking Points,Talking Points for the President SONSTBENTIA DECL: OADR,Latin American Directorate Chronological Files,"July 1, 1989-July 15, 1989 [3]",High,78,Restricted - Possibly,48,"Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-003, July 1, 1989-July 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf,https://catalog.archives.gov/id/470766440
3905,High-priority print candidate,Critical,Bolivia,95,4,47,,Talking Points,"TALKING POINTS FOR THE PRESIDENT: -- IT am calling to congratulate the Government and people of Bolivia on the peaceful conduct of free elections, which",Latin American Directorate Chronological Files,"May 16, 1989-May 30, 1989 [3]",High,78,Restricted - Possibly,57,"Presidential or NSC principals; narcotics, democracy, debt and economy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf,https://catalog.archives.gov/id/470766432
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"July 12, 1989",Memorandum of Telephone Conversation,The President’s Telephone Conversation with,Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989",High,72,Restricted - Possibly,55,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"July 13, 1989",Memorandum,Recommendation that the President Name an Official,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [2]",High,90,Restricted - Possibly,94,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, panama spillover; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-005, July 16, 1989-July 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf,https://catalog.archives.gov/id/470766442
3905,High-priority print candidate,Critical,Bolivia,95,4,47,"July 31, 1989",Memorandum,Congratulatory Letter from President Bush to the,Latin American Affairs Directorate Subject Files,"Bolivia - January 20, 1989-December 31, 1989",High,78,Restricted - Possibly,51,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-012, Bolivia - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf,https://catalog.archives.gov/id/470766485
