date,catalog_date,source_type,title,countries,relationship,matched_terms,linked_memcon_telcon_titles,local_identifier,naid,empty_folder,access_restriction,source_note,pdf_url,catalog_url
1989-02-22,2/22/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/22/1989,Brazil,Catalog search lead,"Brazil; Sarney",,12791-012,415889665,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/22/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_22_89-12791-012_415889665.pdf,https://catalog.archives.gov/id/415889665
1989-02-23,2/23/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/23/1989,Brazil,Catalog search lead,"Brazilian; Sarney",,12791-014,415889667,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/23/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_23_89-12791-014_415889667.pdf,https://catalog.archives.gov/id/415889667
1989-02-24,2/24/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/24/1989,Brazil,Catalog search lead,"Brazil; Sarney",,12791-016,415889669,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/24/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-016_415889669.pdf,https://catalog.archives.gov/id/415889669
1989-02-25,2/25/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/25/1989,Brazil,Matched memcon/telcon date,"Brazil; Sarney",Memorandum of Conversation,12791-018,415889671,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/25/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_25_89-12791-018_415889671.pdf,https://catalog.archives.gov/id/415889671
1989-02-25,2/25/1989,Presidential Daily Diary,[Presidential Daily Diary] 2/25/1989 [EMPTY],Brazil,Matched memcon/telcon date,,Memorandum of Conversation,12791-017,415889670,yes,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 2/25/1989 [EMPTY]. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_25_89-12791-017_415889670.pdf,https://catalog.archives.gov/id/415889670
1989-02-26,2/26/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/26/1989,Brazil,Catalog search lead,"Brazil; Sarney",,12791-020,415889673,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/26/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_26_89-12791-020_415889673.pdf,https://catalog.archives.gov/id/415889673
1989-02-27,2/27/1989,Presidential Daily Backup,[Presidential Daily Backup] 2/27/1989,"Brazil; Venezuela",Catalog search lead,"Brazil; Carlos Andres Perez; Sarney; Venezuelan",,12791-022,415889675,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 2/27/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_27_89-12791-022_415889675.pdf,https://catalog.archives.gov/id/415889675
1989-03-02,3/2/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/2/1989,Venezuela,Catalog search lead,"Carlos Andres Perez; Venezuelan",,12791-028,415889681,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/2/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_02_89-12791-028_415889681.pdf,https://catalog.archives.gov/id/415889681
1989-03-03,3/3/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/3/1989,"Bolivia; Colombia; Peru; Venezuela",Matched memcon/telcon date,"Bolivia; Carlos Andres Perez; Colombia; Peru; Venezuela; Venezuelan",Memorandum of Telephone Conversation,12791-030,415889683,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/3/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-030_415889683.pdf,https://catalog.archives.gov/id/415889683
1989-03-03,3/3/1989,Presidential Daily Diary,[Presidential Daily Diary] 3/3/1989,"Bolivia; Colombia; Peru; Venezuela",Matched memcon/telcon date,"Bolivia; Colombia; Peru; Venezuela; Venezuelan",Memorandum of Telephone Conversation,12791-029,415889682,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 3/3/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_03_89-12791-029_415889682.pdf,https://catalog.archives.gov/id/415889682
1989-03-06,3/6/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/6/1989,Brazil,Catalog search lead,Brazil,,12792-002,415889689,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/6/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_06_89-12792-002_415889689.pdf,https://catalog.archives.gov/id/415889689
1989-03-08,3/8/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/8/1989,Colombia,Matched memcon/telcon date,Barco,Memorandum of Telephone Conversation,12792-006,415889693,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/8/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_08_89-12792-006_415889693.pdf,https://catalog.archives.gov/id/415889693
1989-03-08,3/8/1989,Presidential Daily Diary,[Presidential Daily Diary] 3/8/1989,Colombia,Matched memcon/telcon date,"Barco; Colombia",Memorandum of Telephone Conversation,12792-005,415889692,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 3/8/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_08_89-12792-005_415889692.pdf,https://catalog.archives.gov/id/415889692
1989-03-10,3/10/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/10/1989,"Bolivia; Colombia; Peru",Catalog search lead,"Barco; Bolivia; Bolivian; Colombia; Colombian; Peru; Peruvian",,12792-010,415889697,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/10/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_10_89-12792-010_415889697.pdf,https://catalog.archives.gov/id/415889697
1989-03-13,3/13/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/13/1989,Brazil,Catalog search lead,Brazil,,12792-016,415889703,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/13/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_13_89-12792-016_415889703.pdf,https://catalog.archives.gov/id/415889703
1989-03-14,3/14/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/14/1989,Uruguay,Catalog search lead,Uruguay,,12792-018,415889705,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/14/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_14_89-12792-018_415889705.pdf,https://catalog.archives.gov/id/415889705
1989-03-17,3/17/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/17/1989,Chile,Catalog search lead,Chilean,,12792-024,415889711,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/17/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_17_89-12792-024_415889711.pdf,https://catalog.archives.gov/id/415889711
1989-03-22,3/22/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/22/1989,"Bolivia; Colombia; Peru",Catalog search lead,"Bolivia; Colombia; Peru",,12793-010,415889721,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/22/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_22_89-12793-010_415889721.pdf,https://catalog.archives.gov/id/415889721
1989-03-28,3/28/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/28/1989,Colombia,Catalog search lead,Colombia,,12793-022,415889733,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/28/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_28_89-12793-022_415889733.pdf,https://catalog.archives.gov/id/415889733
1989-03-29,3/29/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/29/1989,Uruguay,Catalog search lead,Uruguay,,12793-024,415889735,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/29/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_29_89-12793-024_415889735.pdf,https://catalog.archives.gov/id/415889735
1989-03-30,3/30/1989,Presidential Daily Backup,[Presidential Daily Backup] 3/30/1989,Chile,Catalog search lead,Chile,,12793-026,415889737,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 3/30/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-03_30_89-12793-026_415889737.pdf,https://catalog.archives.gov/id/415889737
1989-04-01,4/1/1989,Presidential Daily Backup,[Presidential Daily Backup] 4/1/1989,"Paraguay; Venezuela",Matched memcon/telcon date,"Andres Rodriguez; Carlos Andres Perez; Venezuela; Venezuelan",Memorandum of Conversation,12793-030,415889741,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 4/1/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_01_89-12793-030_415889741.pdf,https://catalog.archives.gov/id/415889741
1989-04-01,4/1/1989,Presidential Daily Diary,[Presidential Daily Diary] 4/1/1989,Venezuela,Matched memcon/telcon date,"Carlos Andres Perez; Venezuela; Venezuelan",Memorandum of Conversation,12793-029,415889740,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 4/1/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_01_89-12793-029_415889740.pdf,https://catalog.archives.gov/id/415889740
1989-04-02,4/2/1989,Presidential Daily Backup,[Presidential Daily Backup] 4/2/1989,Venezuela,Catalog search lead,Venezuelan,,12793-032,415889743,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 4/2/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_02_89-12793-032_415889743.pdf,https://catalog.archives.gov/id/415889743
1989-04-14,4/14/1989,Presidential Daily Backup,[Presidential Daily Backup] 4/14/1989,Colombia,Matched memcon/telcon date,Barco,Memorandum of Telephone Conversation,12794-024,415889767,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 4/14/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_14_89-12794-024_415889767.pdf,https://catalog.archives.gov/id/415889767
1989-04-14,4/14/1989,Presidential Daily Diary,[Presidential Daily Diary] 4/14/1989,Colombia,Matched memcon/telcon date,"Barco; Colombia",Memorandum of Telephone Conversation,12794-023,415889766,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 4/14/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_14_89-12794-023_415889766.pdf,https://catalog.archives.gov/id/415889766
1989-04-26,4/26/1989,Presidential Daily Backup,[Presidential Daily Backup] 4/26/1989,Guyana,Catalog search lead,Guyana,,12795-022,415889791,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 4/26/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_26_89-12795-022_415889791.pdf,https://catalog.archives.gov/id/415889791
1989-04-27,4/27/1989,Presidential Daily Backup,[Presidential Daily Backup] 4/27/1989,"Bolivia; Colombia; Venezuela",Catalog search lead,"Bolivian; Colombia; Colombian; Venezuela",,12795-024,415889793,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 4/27/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_27_89-12795-024_415889793.pdf,https://catalog.archives.gov/id/415889793
1989-05-02,5/2/1989,Presidential Daily Backup,[Presidential Daily Backup] 5/2/1989,"Brazil; Colombia; Paraguay; Venezuela",Catalog search lead,"Andres Rodriguez; Brazil; Colombia; Paraguay; Venezuela",,12796-002,415889803,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 5/2/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_02_89-12796-002_415889803.pdf,https://catalog.archives.gov/id/415889803
1989-05-03,5/3/1989,Presidential Daily Backup,[Presidential Daily Backup] 5/3/1989,Chile,Catalog search lead,"Chile; Chilean",,12796-004,415889805,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 5/3/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_03_89-12796-004_415889805.pdf,https://catalog.archives.gov/id/415889805
1989-05-03,5/3/1989,Presidential Daily Diary,[Presidential Daily Diary] 5/3/1989,Chile,Catalog search lead,"Chile; Chilean",,12796-003,415889804,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 5/3/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_03_89-12796-003_415889804.pdf,https://catalog.archives.gov/id/415889804
1989-05-04,5/4/1989,Presidential Daily Backup,[Presidential Daily Backup] 5/4/1989,Peru,Catalog search lead,Alan Garcia,,12796-006,415889807,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 5/4/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_04_89-12796-006_415889807.pdf,https://catalog.archives.gov/id/415889807
1989-05-08,5/8/1989,Presidential Daily Backup,[Presidential Daily Backup] 5/8/1989,Peru,Catalog search lead,Alan Garcia,,12796-014,415889815,no,Restricted - Possibly,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 5/8/1989. Access restriction: Restricted - Possibly.",https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_08_89-12796-014_415889815.pdf,https://catalog.archives.gov/id/415889815
