ledger_rank,review_priority,country_risk_level,country_risk_score,source_family,repository,record_group_or_collection,series,subseries_or_file_group,folder_title,folder_or_file_id,folder_naid,parent_collection_naid,evidence_classes,countries,years,date_span,verified_private_record_count,duplicate_private_source_count,print_candidate_count,high_priority_print_candidate_count,daily_diary_backup_reference_count,total_evidence_rows,verified_private_page_total,duplicate_source_page_total,print_candidate_page_starts,access_or_release_statuses,foia_numbers,source_note_statuses,sample_private_records,sample_duplicate_private_sources,sample_print_candidates,sample_diary_backup_references,recommended_compiler_use,catalog_url,pdf_url,parent_collection_url,source_notes,provenance_trail
164,Medium,Monitor,28,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Memcon Files,Latin American Directorate Chronological Files,[Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991,325542558,325542558,321498039,Verified private record,Brazil,1991,1991-09-23,1,0,0,0,0,1,6,0,,Full,,FRUS-style ready,"1991-09-23 - Meeting with Fernando Collor de Mello, President of the Federative Republic of Brazil at UNGA, Waldorf Astoria Hotel, New York",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428081891,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-09-23--Collor-de-Mello.pdf,https://catalog.archives.gov/id/321498039,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991. Declassified.","Latin American Directorate Chronological Files; Presidential Memcon Files; Records of the National Security Council (George H. W. Bush Administration)"
165,Medium,Critical,87,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Memcon Files,Latin American Directorate Chronological Files,[Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991,325542558,325542558,321498039,Verified private record,Peru,1991,1991-09-17,1,0,0,0,0,1,7,0,,Full,,FRUS-style ready,"1991-09-17 - Luncheon with Alberto Fujimori, President of Peru, September 17, 1991 (2 of 2)",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428081889,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-09-17--Fujimori-2.pdf,https://catalog.archives.gov/id/321498039,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991. Declassified.","Latin American Directorate Chronological Files; Presidential Memcon Files; Records of the National Security Council (George H. W. Bush Administration)"
166,Medium,Critical,87,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Memcon Files,Latin American Directorate Chronological Files,[Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991,325542558,325542558,321498039,Verified private record,Peru,1991,1991-09-17,1,0,0,0,0,1,7,0,,Full,,FRUS-style ready,"1991-09-17 - Meeting with Alberto Fujimori, President of Peru, September 17, 1991 (1 of 2)",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428081887,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-09-17--Fujimori-1.pdf,https://catalog.archives.gov/id/321498039,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991. Declassified.","Latin American Directorate Chronological Files; Presidential Memcon Files; Records of the National Security Council (George H. W. Bush Administration)"
167,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Memcon Files,Latin American Directorate Chronological Files,[Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991,325542558,325542558,321498039,Verified private record,Venezuela,1991,1991-09-24,1,0,0,0,0,1,9,0,,Full,,FRUS-style ready,"1991-09-24 - Meeting with Carlos Andres Perez, President of the Republic of Venezuela at UNGA, Waldorf Astoria Hotel, New York",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428081905,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-09-24--Perez.pdf,https://catalog.archives.gov/id/321498039,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1991-December 1991]: September 1991. Declassified.","Latin American Directorate Chronological Files; Presidential Memcon Files; Records of the National Security Council (George H. W. Bush Administration)"
168,Medium,High,68,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Memcon Files,Latin American Directorate Chronological Files,[Memorandum of Conversations (Memcons)-July 1992-December 1992]: July 1992,325592621,325592621,321498039,Verified private record,Ecuador,1992,1992-07-28,1,0,0,0,0,1,5,0,,Full,,FRUS-style ready,"1992-07-28 - Meeting with Sixto Duran Ballen, PresidentElect of Ecuador, Julyu 28, 1992",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428082307,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-07-28--Ballen.pdf,https://catalog.archives.gov/id/321498039,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1992-December 1992]: July 1992. Declassified.","Latin American Directorate Chronological Files; Presidential Memcon Files; Records of the National Security Council (George H. W. Bush Administration)"
169,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Memcon Files,Latin American Directorate Chronological Files,[Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992,325592627,325592627,321498039,Verified private record,Venezuela,1992,1992-11-27,1,0,0,0,0,1,1,0,,Full,,FRUS-style ready,"1992-11-27 - Telcon with Carlos Andres Perez, President of Venezuela on November 27, 1992 (1 of 2)",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428082369,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-27--Perez-1.pdf,https://catalog.archives.gov/id/321498039,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992. Declassified.","Latin American Directorate Chronological Files; Presidential Memcon Files; Records of the National Security Council (George H. W. Bush Administration)"
170,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Memcon Files,Latin American Directorate Chronological Files,[Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992,325592627,325592627,321498039,Verified private record,Venezuela,1992,1992-11-27,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1992-11-27 - Telcon with Carlos Andres Perez, President of Venezuela on November 27, 1992 (2 of 2)",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428082371,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-27--Perez-2.pdf,https://catalog.archives.gov/id/321498039,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992. Declassified.","Latin American Directorate Chronological Files; Presidential Memcon Files; Records of the National Security Council (George H. W. Bush Administration)"
171,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,325592635,325592635,321498139,Verified private record,Colombia,1989,1989-08-21,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-08-21 - Telephone Conversation with Virgilio Barco Vargas, President of Colombia",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080207,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-21--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
172,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,325592635,325592635,321498139,Verified private record,Colombia,1989,1989-08-28,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-08-28 - Telephone Conversation with Virgilio Barco Vargas, President of Colombia",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080215,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-28--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
173,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,325592635,325592635,321498139,Verified private record,Venezuela,1989,1989-08-22,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-08-22 - Telephone Conversation with Carlos Andres Perez, President of Venezuela",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080211,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-22--Perez.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
174,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989,325592639,325592639,321498139,Verified private record,Argentina,1989,1989-12-20,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-12-20 - Telephone Conversation with President Menem of Argentina, December 20, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080455,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Menem.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
175,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989,325592639,325592639,321498139,Verified private record,Colombia,1989,1989-12-20,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1989-12-20 - Telephone Conversation with President Barco of Colombia, December 20, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080421,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
176,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989,325592639,325592639,321498139,Verified private record,Venezuela,1989,1989-12-20,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-12-20 - Telephone Conversation with President Perez of Venezuela, December 20, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080461,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Perez.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
177,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,325592638,325592638,321498139,Verified private record,Colombia,1989,1989-11-27,1,0,0,0,0,1,5,0,,Partial,,FRUS-style ready,"1989-11-27 - Telephone Conversation with President Barco of Colombia, November 27, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080357,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Declassified; partial release: Partial.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
178,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,325592638,325592638,321498139,Verified private record,Venezuela,1989,1989-11-01,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-11-01 - Telephone Conversation with Venezuelan President Carlos Andres Perez, November 1, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080319,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Perez.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
179,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,325592637,325592637,321498139,Verified private record,Colombia,1989,1989-10-30,1,0,0,0,0,1,2,0,,Full,,FRUS-style ready,"1989-10-30 - Telephone Conversation with President Barco of Colombia, October 30, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080315,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-30--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
180,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: September 1989,325592636,325592636,321498139,Verified private record,Colombia,1989,1989-09-26,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1989-09-26 - Telephone Conversation with President Virgilio Barco of Colombia, September 26, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080265,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-09-26--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: September 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
181,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1990-December 1990]: August 1990 [2],325592648,325592648,321498139,Verified private record,Venezuela,1990,1990-08-13,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1990-08-13 - Telephone Conversation with President Carlos Andres Perez of Venezuela, August 13, 1990",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080951,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-13--Perez.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1990-December 1990]: August 1990 [2]. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
182,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - August 1990-December 1990]: November 1990,325592651,325592651,321498139,Verified private record,Colombia,1990,1990-11-23,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1990-11-23 - Telephone Conversation -with President Gaviria of Colombia, November 23, 1990",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428081223,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-11-23--Gaviria-Trujillo.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1990-December 1990]: November 1990. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
183,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: April 1989,325592631,325592631,321498139,Verified private record,Colombia,1989,1989-04-14,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1989-04-14 - The President's Telephone Conversation with President Barco of Colombia, April 14, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428079963,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-04-14--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: April 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
184,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,322361434,322361434,321498139,Verified private record,Argentina,1989,1989-01-23,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1989-01-23 - Telephone Call from the President to President Alfonsin of Argentina, January 23, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428079775,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Alfonsin.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
185,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,322361434,322361434,321498139,Verified private record,Venezuela,1989,1989-01-24,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1989-01-24 - Memorandum of Conversation Between the President and President-Elect Carlos Andres Perez of Venezuela, January 24, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428079799,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-24--Perez.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
186,Medium,Critical,95,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,325592634,325592634,321498139,Verified private record,Bolivia,1989,1989-07-07,1,0,0,0,0,1,3,0,,Full,,FRUS-style ready,"1989-07-07 - Telephone Conversation with Victor Paz Estenssoro of Bolivia, July 7, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080119,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-07--Estenssoro.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
187,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,325592633,325592633,321498139,Verified private record,Venezuela,1989,1989-06-23,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-06-23 - The President's Telephone Conversation with President Carlos Andres Perez of Venezuela, June 23, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-23--Perez.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
188,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: March 1989,325592630,325592630,321498139,Verified private record,Colombia,1989,1989-03-08,1,0,0,0,0,1,2,0,,Full,,FRUS-style ready,"1989-03-08 - President's Telephone Call to Colombian President Barco, March 8, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428079919,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-03-08--Barco.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: March 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
189,Medium,Monitor,18,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: March 1989,325592630,325592630,321498139,Verified private record,Venezuela,1989,1989-03-03,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-03-03 - The President's Telephone Conversation with President Carlos Andres Perez of Venezuela on March 3, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428079917,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-03-03--Perez.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: March 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
190,Medium,Monitor,26,Presidential memcon/telcon files,George Bush Library,Records of the National Security Council (George H. W. Bush Administration),Presidential Telcon Files,Latin American Directorate Chronological Files,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989,325592632,325592632,321498139,Verified private record,Argentina,1989,1989-05-13,1,0,0,0,0,1,4,0,,Full,,FRUS-style ready,"1989-05-13 - The President's Telephone Conversation with Argentine President Raul Alfonsin, May 13, 1989",,,,Use as the folder-level provenance anchor for released memcons/telcons in the chronology.,https://catalog.archives.gov/id/428080013,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-13--Alfonsin.pdf,https://catalog.archives.gov/id/321498139,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989. Declassified.","Latin American Directorate Chronological Files; Presidential Telcon Files; Records of the National Security Council (George H. W. Bush Administration)"
